rank,name,developer,data_safety
289,Temple Run 2,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
293,PUBG MOBILE,Level Infinite,http://pubgmobile.proximabeta.com/privacy.html
294,Two Dots: Fun Dot & Line Games,PlayDots,https://legal.socialpoint.es/privacy?v2.0
295,Candy Crush Soda Saga,King,https://king.com/privacyPolicy
296,Dream League Soccer 2024,First Touch Games Ltd.,https://www.ftgames.com/privacy-policy
297,Temple Run,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
298,Tile Club - Match Puzzle Game,GamoVation,https://www.gamovation.com/legal/privacy-policy.html
299,Words of Wonders: Crossword,Fugo Games,http://fugo.com.tr/privacypolicy-wordsofwonders.html
300,Hay Day,Supercell,https://supercell.com/en/privacy-policy/
301,Free Fire: 7th Anniversary,Garena International I,https://content.garena.com/legal/pp/pp_en.html
302,Candy Crush Saga,King,https://king.com/privacyPolicy
303,Roblox,Roblox Corporation,http://www.roblox.com/info/Privacy.aspx
304,8 Ball Pool,Miniclip.com,https://www.miniclip.com/privacy-policy
305,Mobile Legends: Bang Bang,Moonton,https://m.mobilelegends.com/news/articleldetail?newsid=2690279
306,Clash of Clans,Supercell,https://supercell.com/en/privacy-policy/
307,Royal Match,"Dream Games, Ltd.",https://dreamgames.com/en/privacy
308,Free Fire MAX,Garena International I,https://content.garena.com/legal/pp/pp_en.html
309,Subway Surfers,SYBO Games,https://sybogames.com/privacy-policy/
310,Plants vs. Zombies™,ELECTRONIC ARTS,http://privacy.ea.com/en
311,Google Play Games,Google LLC,http://www.google.com/policies/privacy
312,Minion Rush: Running Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
313,Among Us,Innersloth LLC,https://www.innersloth.com/privacy.php
314,Township,Playrix,https://www.playrix.com/privacy/index.html
315,Asphalt 8 - Car Racing Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
316,Crossy Road,HIPSTER WHALE,http://www.crossyroad.com/privacy.html
317,Fruit Ninja®,Halfbrick Studios,https://www.halfbrick.com/pp
318,Minecraft,Mojang,http://go.microsoft.com/fwlink/?LinkId=521839
319,Temple Run 2,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
320,Farm Heroes Saga,King,https://king.com/privacyPolicy
321,Genshin Impact,COGNOSPHERE PTE. LTD.,https://genshin.hoyoverse.com/company/privacy
322,Pokémon GO,"Niantic, Inc.",https://nianticlabs.com/privacy/pokemongo/en
323,PUBG MOBILE,Level Infinite,http://pubgmobile.proximabeta.com/privacy.html
324,Two Dots: Fun Dot & Line Games,PlayDots,https://legal.socialpoint.es/privacy?v2.0
325,Candy Crush Soda Saga,King,https://king.com/privacyPolicy
326,Dream League Soccer 2024,First Touch Games Ltd.,https://www.ftgames.com/privacy-policy
327,Temple Run,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
328,Tile Club - Match Puzzle Game,GamoVation,https://www.gamovation.com/legal/privacy-policy.html
329,Words of Wonders: Crossword,Fugo Games,http://fugo.com.tr/privacypolicy-wordsofwonders.html
330,Hay Day,Supercell,https://supercell.com/en/privacy-policy/
331,Free Fire: 7th Anniversary,Garena International I,https://content.garena.com/legal/pp/pp_en.html
332,Candy Crush Saga,King,https://king.com/privacyPolicy
333,Roblox,Roblox Corporation,http://www.roblox.com/info/Privacy.aspx
334,8 Ball Pool,Miniclip.com,https://www.miniclip.com/privacy-policy
335,Mobile Legends: Bang Bang,Moonton,https://m.mobilelegends.com/news/articleldetail?newsid=2690279
336,Clash of Clans,Supercell,https://supercell.com/en/privacy-policy/
337,Royal Match,"Dream Games, Ltd.",https://dreamgames.com/en/privacy
338,Free Fire MAX,Garena International I,https://content.garena.com/legal/pp/pp_en.html
339,Subway Surfers,SYBO Games,https://sybogames.com/privacy-policy/
340,Plants vs. Zombies™,ELECTRONIC ARTS,http://privacy.ea.com/en
341,Google Play Games,Google LLC,http://www.google.com/policies/privacy
342,Minion Rush: Running Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
343,Among Us,Innersloth LLC,https://www.innersloth.com/privacy.php
344,Township,Playrix,https://www.playrix.com/privacy/index.html
345,Asphalt 8 - Car Racing Game,Gameloft SE,http://www.gameloft.com/privacy-notice/
346,Crossy Road,HIPSTER WHALE,http://www.crossyroad.com/privacy.html
347,Fruit Ninja®,Halfbrick Studios,https://www.halfbrick.com/pp
348,Minecraft,Mojang,http://go.microsoft.com/fwlink/?LinkId=521839
349,Temple Run 2,Imangi Studios,http://imangistudios.com/privacy/privacy-policy.htm
350,Farm Heroes Saga,King,https://king.com/privacyPolicy
351,Genshin Impact,COGNOSPHERE PTE. LTD.,https://genshin.hoyoverse.com/company/privacy
352,Pokémon GO,"Niantic, Inc.",https://nianticlabs.com/privacy/pokemongo/en
353,PUBG MOBILE,Level Infinite,http://pubgmobile.proximabeta.com/privacy.html
